time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
291,1.332373,-7.161057,-7.988254,0.146821,-0.037305,0.651767
292,0.708684,-6.387730,-8.110358,0.366386,0.087400,0.515072
293,0.505177,-9.168595,-7.524976,-0.123905,-1.174034,-0.978983
294,0.726640,-10.120291,-7.309498,-0.548913,0.261400,0.892916
295,-0.720655,-6.337452,-6.658275,-0.277654,-0.342404,1.563868
296,-1.217452,-6.125565,-8.262390,-0.011991,-0.126570,1.025881
297,-2.837129,-4.205415,-7.738060,1.429571,-0.807914,-0.843620
298,1.416170,-10.862494,-7.504625,0.825767,-0.580355,-1.886554
299,0.457293,-9.855731,-7.691373,1.305666,-0.188389,0.685608
300,-1.045069,-8.155849,-3.933673,1.210273,-1.748527,-0.433268
301,-0.755371,-11.154586,-2.950854,0.242481,-0.603804,-0.041568
302,-1.137246,-9.320627,-4.013879,-0.374380,0.943810,0.338407
303,-1.565808,-8.749610,-3.515885,-0.597942,1.111948,0.065550
304,-1.757344,-9.209297,-6.154295,-0.017587,-1.016821,0.041302
305,-2.494758,-8.737639,-4.201824,0.454052,-0.381041,0.706392
306,-2.788048,-6.265626,-3.926491,0.203044,-1.899611,-1.359492
307,-1.934515,-11.021708,-1.713051,0.029577,-0.863605,-0.043167
308,-2.920926,-8.880095,-3.669114,-0.284848,-0.374646,0.233155
310,-2.183512,-10.931925,-5.379771,0.100456,-1.645672,-0.545449
311,0.010774,-12.574347,-3.239355,-0.156147,-1.232123,-1.815142
312,1.345541,-10.670957,0.471658,-0.360257,-0.512674,0.593412
313,0.791284,-6.132748,-5.414487,-0.895580,0.405289,1.218266
314,-0.872687,-7.304709,-2.823961,-0.937681,-1.002432,-0.277920
315,-2.950854,-6.549339,-2.711433,0.212904,-0.812711,1.044000
316,-4.216189,-7.305906,-5.899313,0.720248,-0.205709,0.751158
317,-5.105635,-9.027337,-4.098873,0.804450,-0.514539,-1.734404
318,0.084994,-15.711948,-3.307590,0.293642,-0.749559,-1.322720
319,-1.668759,-7.959524,-2.438494,-0.396763,2.130368,1.413850
320,-1.083376,-8.981848,-1.023521,-0.152683,-1.519902,-0.496686
321,-1.082179,-6.648698,-1.759738,0.274989,0.625121,1.215868
322,-2.092532,-6.550536,-3.333926,0.378377,0.566233,-1.020818
323,0.264559,-9.871294,-4.168305,0.814309,0.555574,-2.561504
324,5.500679,-14.488512,-2.700660,0.771675,-0.926757,-2.146888
325,5.440824,-13.360843,1.047463,-0.716784,-0.080738,1.518037
326,1.804031,-7.122750,-1.604115,-0.620058,-2.780270,2.919096
327,-1.915361,-6.959944,-2.819172,-1.253173,-1.048796,1.499651
328,-4.311957,-4.701015,-4.194642,-0.370649,0.078340,0.131100
329,-4.933253,-6.611588,-2.270900,0.614462,-1.186824,-0.970723
331,-2.373851,-11.306618,-2.948459,1.610499,-1.280619,-1.657130
332,-1.024718,-12.358870,6.408081,0.478833,0.585685,-1.098891
333,-0.986411,-8.634688,-0.527921,0.553176,1.417580,1.445559
334,-1.789666,-7.436390,-1.355118,0.260067,0.507611,-0.327749
335,-1.243788,-7.688979,-1.109712,0.708790,0.767678,-0.464711
336,2.378639,-10.073604,-0.641646,0.384505,-0.727176,-1.855645
337,3.013103,-12.865243,3.495534,1.119942,-3.301203,-1.096227
338,5.225345,-12.854469,-0.250194,-0.434600,-1.932386,0.594211
339,2.049437,-6.846220,0.587777,-0.610466,-0.651234,1.621424
340,-1.388637,-4.205415,0.441730,-0.588083,-0.752757,0.380775
341,-0.905008,-10.313024,-2.112883,-0.140159,0.252606,0.698665
342,-2.068590,-12.294226,1.622072,0.338141,0.385038,-0.198515
343,-1.074997,-11.125855,-0.958878,0.313360,1.921461,0.596609
344,0.820014,-11.666945,5.973533,-0.163342,3.274824,0.616594
345,-2.272097,-4.656722,0.300472,1.050928,4.187191,1.406123
346,-2.809596,-6.969521,-1.374272,-0.506279,1.893216,-2.568165
347,0.647632,-11.493365,-5.064934,-1.111681,0.334144,-1.085035
348,5.286397,-9.746795,-5.163096,-2.313161,0.921161,-0.499617
349,-2.088941,-5.597643,3.230975,0.485228,-3.223930,-0.084469
350,-1.337162,-6.992266,-4.588488,0.811378,0.941945,2.513807
352,-2.512715,-9.187749,-3.257311,0.105519,-1.836193,-1.357093
353,-4.157531,-12.686874,-3.963601,0.312560,-0.167871,0.390634
354,-2.501941,-9.576807,-3.957615,-0.103920,1.976352,-0.552110
355,-0.232238,-9.956287,-3.250129,0.459115,-0.307231,-0.275256
356,-1.237802,-6.294356,-5.025429,0.423942,0.091930,0.694135
357,0.081403,-12.242750,-3.752911,-0.284049,-1.451421,-1.088233
358,-0.760159,-11.328165,-4.272453,-0.048763,-0.090864,0.813776
359,-1.106121,-13.049597,-2.522291,-0.843354,-1.131666,-0.670153
360,-1.200692,-8.178593,-5.122395,-0.132432,-0.144156,0.587816
361,-2.039860,-5.361814,-2.187103,0.129234,0.373847,0.271792
362,-1.367089,-7.281964,-4.416105,0.019452,-0.292576,-1.097825
363,-1.110910,-11.186908,-5.219360,-0.063951,0.411152,-0.409020
364,-0.187945,-13.937845,-3.473987,-0.537988,0.345602,-0.553709
365,-0.909797,-8.233660,-6.117185,0.246478,1.219066,1.232389
366,-1.168370,-7.424419,-1.565808,0.384772,1.458349,0.757553
367,0.914585,-6.426037,-6.056133,0.718116,-1.732273,-0.817507
368,4.122815,-14.859612,-1.474828,-1.415982,-0.706392,-2.405890
369,-0.459687,-7.331046,-2.261323,0.199047,-1.539354,0.106319
370,1.408988,-11.034876,-2.565387,-0.625387,-3.160511,-1.442628
371,0.653617,-6.681020,-5.385756,-0.281917,0.557173,0.822303
373,0.865504,-8.480263,-6.519411,-0.262466,-0.960331,-1.036006
374,0.004788,-8.477868,-6.421249,-0.381308,1.073844,0.914499
375,1.207875,-9.902418,-8.573636,-0.928089,1.086634,0.822836
